City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Riverside-San Bernardino-Ontario (Ca),2014,10.6,33.99,21.84
Riverside-San Bernardino-Ontario (Ca),2015,10.54,31.11,21.26
Riverside-San Bernardino-Ontario (Ca),2016,11.02,32.39,22.01
Riverside-San Bernardino-Ontario (Ca),2017,10.8,30.57,20.37
Riverside-San Bernardino-Ontario (Ca),2018,11.9,30.52,21.39
Riverside-San Bernardino-Ontario (Ca),2019,10.64,27.03,20.19
Riverton (Wy),2010,,20.2,1.15
Riverton (Wy),2011,,9.8,1.4
Riverton (Wy),2012,,8.7,1.5
Riverton (Wy),2013,,5.4,1.5
Riverton (Wy),2014,,,1.2
Riverton (Wy),2015,,6.1,1
Riverton (Wy),2016,,,1.1
Riverton (Wy),2017,,7,0.65
Riverton (Wy),2018,,6,0.65
Riverton (Wy),2019,,9.25,0.5
Roanoke (Va),2015,,,9
Roanoke (Va),2016,,,10.8
Rock Springs (Wy),2010,,12.5,
Rock Springs (Wy),2011,,9.53,8.3
Rock Springs (Wy),2012,,10.95,3.7
Rock Springs (Wy),2013,,10.05,
Rock Springs (Wy),2014,,12.02,
Rock Springs (Wy),2015,,8.22,6.5
Rock Springs (Wy),2016,,7.9,
Rock Springs (Wy),2017,,7.7,
Rock Springs (Wy),2018,,17.35,6.1
Rock Springs (Wy),2019,,9.22,
Rutland (Vt),2012,,,14
Rutland (Vt),2015,,,14.1
Rutland (Vt),2018,,,13
Sacramento--Roseville--Arden-Arcade (Ca),2010,,18,12.68
Sacramento--Roseville--Arden-Arcade (Ca),2011,,20.15,14.65
Sacramento--Roseville--Arden-Arcade (Ca),2012,7.5,16.5,13.44
Sacramento--Roseville--Arden-Arcade (Ca),2013,9,20.24,13.78
Sacramento--Roseville--Arden-Arcade (Ca),2014,7.78,13.53,11.16
Sacramento--Roseville--Arden-Arcade (Ca),2015,8.7,10,11.43
Sacramento--Roseville--Arden-Arcade (Ca),2016,,14.78,9.6
Sacramento--Roseville--Arden-Arcade (Ca),2017,7.2,15.83,9.12
Sacramento--Roseville--Arden-Arcade (Ca),2018,12.35,25,8.57
Sacramento--Roseville--Arden-Arcade (Ca),2019,7.17,19.67,7.88
Salinas (Ca),2010,,,11.4
Salinas (Ca),2011,6.3,23.9,11.5
Salinas (Ca),2012,5.8,24.1,9.8
Salinas (Ca),2013,6.65,,10
Salinas (Ca),2014,3.9,25.3,8.5
Salinas (Ca),2015,,,8.6
Salinas (Ca),2016,6.05,25.2,8.3
Salinas (Ca),2017,5.8,,8.3
Salinas (Ca),2018,6.2,28.2,8.5
Salinas (Ca),2019,3.7,,7.4
Salisbury (Md-De),2010,9.9,,
Salt Lake City (Ut),2010,,25.7,
Salt Lake City (Ut),2011,,,34.2
Salt Lake City (Ut),2012,,,30.6
Salt Lake City (Ut),2013,12.7,,
Salt Lake City (Ut),2014,,17.95,26.5
Salt Lake City (Ut),2015,,16.3,29.4
Salt Lake City (Ut),2016,,,34
Salt Lake City (Ut),2018,,,28.4
Salt Lake City (Ut),2019,,,27
San Andreas (Na),2010,6.7,,
San Andreas (Na),2011,9.1,,
San Andreas (Na),2012,7,,
San Andreas (Na),2014,7.9,,
San Andreas (Na),2018,14.6,,
San Andreas (Na),2019,5.5,,
San Antonio-New Braunfels (Tx),2010,,,7.2
San Antonio-New Braunfels (Tx),2011,,22.9,8.7
San Antonio-New Braunfels (Tx),2013,,18.5,6.4
San Antonio-New Braunfels (Tx),2015,,,7.8
San Antonio-New Braunfels (Tx),2017,,21.4,
San Antonio-New Braunfels (Tx),2018,,20.8,
San Diego-Carlsbad (Ca),2010,4.8,26.9,17.4
San Diego-Carlsbad (Ca),2011,,23.05,16.03
San Diego-Carlsbad (Ca),2012,9.8,21,13.15
San Diego-Carlsbad (Ca),2013,8.7,23.6,16.27
San Diego-Carlsbad (Ca),2014,8.1,22.7,16.07
San Diego-Carlsbad (Ca),2015,7.2,27.25,14.47
San Diego-Carlsbad (Ca),2016,,26.65,13.43
San Diego-Carlsbad (Ca),2017,,22.63,13.38
San Diego-Carlsbad (Ca),2018,10,23.1,10.87
San Diego-Carlsbad (Ca),2019,13.7,25.05,13.1
San Francisco-Oakland-Hayward (Ca),2010,8.3,14.4,20.68
San Francisco-Oakland-Hayward (Ca),2011,9.03,16.27,21.8
San Francisco-Oakland-Hayward (Ca),2012,8.05,13,19.9
San Francisco-Oakland-Hayward (Ca),2013,9.85,15.65,21.11
San Francisco-Oakland-Hayward (Ca),2014,7.45,14.9,18.54
San Francisco-Oakland-Hayward (Ca),2015,5.7,14.97,18.5
San Francisco-Oakland-Hayward (Ca),2016,6,13.45,15.8
San Francisco-Oakland-Hayward (Ca),2017,10.7,18.8,16.87
San Francisco-Oakland-Hayward (Ca),2018,11.76,18,16.43
San Francisco-Oakland-Hayward (Ca),2019,6.55,14.4,15.01
San Jose-Sunnyvale-Santa Clara (Ca),2010,5.7,18.5,
San Jose-Sunnyvale-Santa Clara (Ca),2011,,,27.8
San Jose-Sunnyvale-Santa Clara (Ca),2012,6.1,18.2,24.9
San Jose-Sunnyvale-Santa Clara (Ca),2013,12.4,20.8,28.5
San Jose-Sunnyvale-Santa Clara (Ca),2014,7.6,17.65,
San Jose-Sunnyvale-Santa Clara (Ca),2015,4.3,18.55,24.1
San Jose-Sunnyvale-Santa Clara (Ca),2016,4.95,16.35,21.2
San Jose-Sunnyvale-Santa Clara (Ca),2017,5.1,19.65,23
San Jose-Sunnyvale-Santa Clara (Ca),2018,,20.6,22.6
San Jose-Sunnyvale-Santa Clara (Ca),2019,4.9,18.1,20
San Juan-Carolina-Caguas (Pr),2017,,23,
San Luis Obispo-Paso Robles-Arroyo Grande (Ca),2010,8.2,24.6,5.5
San Luis Obispo-Paso Robles-Arroyo Grande (Ca),2011,6.7,,5.3
San Luis Obispo-Paso Robles-Arroyo Grande (Ca),2012,6.2,29.35,4.6
San Luis Obispo-Paso Robles-Arroyo Grande (Ca),2013,6.8,34.6,5.4
San Luis Obispo-Paso Robles-Arroyo Grande (Ca),2014,9.4,30.7,
San Luis Obispo-Paso Robles-Arroyo Grande (Ca),2015,11.1,27.2,4.8
San Luis Obispo-Paso Robles-Arroyo Grande (Ca),2016,,30.25,3.9
San Luis Obispo-Paso Robles-Arroyo Grande (Ca),2017,7.95,34.5,4.1
San Luis Obispo-Paso Robles-Arroyo Grande (Ca),2018,5.9,28,3.7
San Luis Obispo-Paso Robles-Arroyo Grande (Ca),2019,,23.47,3.1
Santa Cruz-Watsonville (Ca),2017,7.1,,
Santa Maria-Santa Barbara (Ca),2010,,18.05,5.91
Santa Maria-Santa Barbara (Ca),2011,7.7,19.25,5.94
Santa Maria-Santa Barbara (Ca),2012,,20.3,5.96
Santa Maria-Santa Barbara (Ca),2013,,19.45,5.49
Santa Maria-Santa Barbara (Ca),2014,,17.4,3.43
Santa Maria-Santa Barbara (Ca),2015,,19.9,4.73
Santa Maria-Santa Barbara (Ca),2016,7,,3.94
Santa Maria-Santa Barbara (Ca),2017,,23.3,3.21
Santa Maria-Santa Barbara (Ca),2018,,,3.86
Santa Maria-Santa Barbara (Ca),2019,4.8,14.8,3.45
Santa Rosa (Ca),2010,,10.1,
Santa Rosa (Ca),2011,,11.5,
Santa Rosa (Ca),2012,,10.6,
Santa Rosa (Ca),2013,,11.35,
Santa Rosa (Ca),2014,,11.1,
Santa Rosa (Ca),2015,,12.45,
Santa Rosa (Ca),2016,,12.9,
Santa Rosa (Ca),2017,,13.6,
Santa Rosa (Ca),2018,,16,
Santa Rosa (Ca),2019,,12.9,
Savannah (Ga),2014,9.7,,
Scottsbluff (Ne),2010,5.3,,
Scottsbluff (Ne),2011,4.8,,
Scottsbluff (Ne),2013,5.1,,
Scranton--Wilkes-Barre--Hazleton (Pa),2010,,,17.1
Scranton--Wilkes-Barre--Hazleton (Pa),2011,,14.4,
Scranton--Wilkes-Barre--Hazleton (Pa),2013,,,15.4
Scranton--Wilkes-Barre--Hazleton (Pa),2014,,,20
Scranton--Wilkes-Barre--Hazleton (Pa),2015,,,20.3
Scranton--Wilkes-Barre--Hazleton (Pa),2016,,12.8,
Scranton--Wilkes-Barre--Hazleton (Pa),2017,,11.3,
Scranton--Wilkes-Barre--Hazleton (Pa),2018,,11.9,
Sheridan (Wy),2014,,9.1,
Show Low (Az),2010,,15,
Show Low (Az),2011,,16.4,
Show Low (Az),2012,,17.3,
Show Low (Az),2013,,14.8,
Show Low (Az),2014,,16.1,
Show Low (Az),2017,,18.5,
Show Low (Az),2019,,13.1,
Shreveport-Bossier City (La),2012,12,,
Shreveport-Bossier City (La),2015,,15.4,
Shreveport-Bossier City (La),2016,10,,
Shreveport-Bossier City (La),2017,10.6,,
Sierra Vista-Douglas (Az),2010,6.8,,
Sierra Vista-Douglas (Az),2011,6.5,,
Sierra Vista-Douglas (Az),2012,6.7,26.2,
Sierra Vista-Douglas (Az),2013,6.9,20.7,
Sierra Vista-Douglas (Az),2014,7.2,21.8,
Sierra Vista-Douglas (Az),2015,5.2,,
Sierra Vista-Douglas (Az),2016,3.8,14.5,
Sierra Vista-Douglas (Az),2017,5.8,16.3,
Sierra Vista-Douglas (Az),2018,5.6,13.8,
Sierra Vista-Douglas (Az),2019,5.1,,
Sioux City (Ia-Ne-Sd),2010,,,5.6
Sioux City (Ia-Ne-Sd),2011,,,5.7
Sioux City (Ia-Ne-Sd),2014,,18,
Sioux City (Ia-Ne-Sd),2015,,,5.6
Sioux City (Ia-Ne-Sd),2018,,,3.2
Sioux Falls (Sd),2010,,,12.4
Sioux Falls (Sd),2011,,,11.6
Sioux Falls (Sd),2013,,,10.1
Sioux Falls (Sd),2014,,,9.5
Sioux Falls (Sd),2016,,,8.1
Sioux Falls (Sd),2017,,17.1,
Sioux Falls (Sd),2018,5.5,,
Sioux Falls (Sd),2019,,,8.5
South Bend-Mishawaka (In-Mi),2010,,,20.9
South Bend-Mishawaka (In-Mi),2011,,,15.2
South Bend-Mishawaka (In-Mi),2014,,,13.8
South Bend-Mishawaka (In-Mi),2016,,,16.2
South Bend-Mishawaka (In-Mi),2017,,,14.4
Springfield (Ma),2010,,,27.3
Springfield (Ma),2011,,8.9,18.3
Springfield (Ma),2012,,9.2,14.5
Springfield (Ma),2013,,,12.8
Springfield (Ma),2014,,5.8,15.15
Springfield (Ma),2015,6.2,7.6,14.9
Springfield (Ma),2016,,6.2,20.9
Springfield (Ma),2017,,6,16.3
Springfield (Ma),2018,4.9,5.1,7.05
Springfield (Ma),2019,,6,5.9
St. Louis (Mo-Il),2010,,,22.9
St. Louis (Mo-Il),2011,,,16.7
St. Louis (Mo-Il),2012,12.2,46,22.8
St. Louis (Mo-Il),2013,,25.9,21.1
St. Louis (Mo-Il),2014,,,20.4
St. Louis (Mo-Il),2015,,27.8,17.9
St. Louis (Mo-Il),2016,,18.7,
St. Louis (Mo-Il),2017,,27.3,17.8
St. Louis (Mo-Il),2018,,24.8,17.8
St. Louis (Mo-Il),2019,,22.8,
State College (Pa),2010,,,9.8
State College (Pa),2012,,,9.1
State College (Pa),2013,,,9
State College (Pa),2014,,,9.4
State College (Pa),2017,,,6.7
State College (Pa),2019,,,6.3
Steamboat Springs (Co),2010,,21.7,
Steamboat Springs (Co),2011,,20.4,
Steamboat Springs (Co),2016,,17.9,
Steamboat Springs (Co),2017,,19.3,
Stilwell,2012,,20,
Stockton-Lodi (Ca),2010,10.6,15.25,12
Stockton-Lodi (Ca),2011,,23.77,20.5
Stockton-Lodi (Ca),2012,12.4,22.7,27
Stockton-Lodi (Ca),2013,14.65,32,20.9
Stockton-Lodi (Ca),2014,10.95,20.1,18.45
Stockton-Lodi (Ca),2015,12.8,25.03,
Stockton-Lodi (Ca),2016,,24.5,15.95
Stockton-Lodi (Ca),2017,11.1,26.03,15.5
Stockton-Lodi (Ca),2018,17.6,29.3,16.55
Stockton-Lodi (Ca),2019,9.3,26.35,15.55
Syracuse (Ny),2017,5.3,,
Talladega-Sylacauga (Al),2010,11.7,,
Talladega-Sylacauga (Al),2011,12.4,,
Talladega-Sylacauga (Al),2012,10.3,,
Talladega-Sylacauga (Al),2015,10,,
Talladega-Sylacauga (Al),2016,8.6,,
Talladega-Sylacauga (Al),2017,8.7,,
Tampa-St. Petersburg-Clearwater (Fl),2010,,21.65,10.7
Tampa-St. Petersburg-Clearwater (Fl),2011,,16.18,
Tampa-St. Petersburg-Clearwater (Fl),2012,,16,8.9
Tampa-St. Petersburg-Clearwater (Fl),2013,,,8.7
Tampa-St. Petersburg-Clearwater (Fl),2014,,16.94,
Tampa-St. Petersburg-Clearwater (Fl),2015,,14.3,7.3
Tampa-St. Petersburg-Clearwater (Fl),2016,,15.85,
Tampa-St. Petersburg-Clearwater (Fl),2017,,19.4,
Tampa-St. Petersburg-Clearwater (Fl),2018,,11.8,7.3
Tampa-St. Petersburg-Clearwater (Fl),2019,,22.5,6.5
Terre Haute (In),2013,,16.5,
Terre Haute (In),2014,11,17.6,
Terre Haute (In),2017,,15.2,
Topeka (Ks),2011,,23.7,
Torrington (Ct),2010,6,,
Torrington (Ct),2016,5,,
Torrington (Ct),2017,3.5,,
Torrington (Ct),2018,4.2,,
Torrington (Ct),2019,4.6,,
Truckee-Grass Valley (Ca),2011,4.2,,
Truckee-Grass Valley (Ca),2012,3.8,,
Truckee-Grass Valley (Ca),2016,4.6,,
Truckee-Grass Valley (Ca),2017,4.9,,
Truckee-Grass Valley (Ca),2018,6,,
Tucson (Az),2010,5.1,22.56,20.3
Tucson (Az),2011,5.7,25.95,22.3
Tucson (Az),2012,5.5,29.21,23.15
Tucson (Az),2013,5.7,27.9,19.4
Tucson (Az),2014,5.9,24.5,19.6
Tucson (Az),2015,4.75,20.01,16.35
Tucson (Az),2016,5.65,23.18,14.85
Tucson (Az),2017,6.6,21.91,15.7
Tucson (Az),2018,4.5,22.87,15.5
Tucson (Az),2019,3.45,18.24,13.9
Tulsa (Ok),2013,,,14.8
Tulsa (Ok),2014,,,13.7
Tulsa (Ok),2019,,,13.2
Tuscaloosa (Al),2010,11,,
Tuscaloosa (Al),2011,10.8,,
Tuscaloosa (Al),2012,9.4,,
Tuscaloosa (Al),2017,8.2,,
Tuscaloosa (Al),2019,7.9,,
Tyler (Tx),2012,,,5.8
Tyler (Tx),2014,,,4.8
Tyler (Tx),2016,,,3
Tyler (Tx),2017,,,3
Ukiah (Ca),2010,7.1,,
Ukiah (Ca),2011,9.8,,
Ukiah (Ca),2012,6.05,12.8,
Ukiah (Ca),2013,,13.7,
Ukiah (Ca),2014,,11.8,
Ukiah (Ca),2015,8,13.4,
Ukiah (Ca),2016,,11.7,
Ukiah (Ca),2017,,12.6,
Ukiah (Ca),2018,,14.8,
Ukiah (Ca),2019,5.65,12.1,
Union Township,2012,,,2.9
Union Township,2014,,,3.9
Union Township,2016,,,3.5
Union Township,2017,,,3.6
Union Township,2018,,,1.2
Union Township,2019,,,1.1
Urban Honolulu (Hi),2010,4.47,15.63,
Urban Honolulu (Hi),2011,7,,5.4
Urban Honolulu (Hi),2012,6.3,18.5,5.4
Urban Honolulu (Hi),2013,2.8,11.4,5.6
Urban Honolulu (Hi),2014,4.27,12.6,6.5
Urban Honolulu (Hi),2015,4.43,16.3,6.6
Urban Honolulu (Hi),2016,2.93,19.8,
Urban Honolulu (Hi),2017,3,13.1,
Urban Honolulu (Hi),2018,3.1,12.4,
Urban Honolulu (Hi),2019,3,11.83,7.6
Valdosta (Ga),2012,8.6,,
Vallejo-Fairfield (Ca),2010,,12.2,17.5
Vallejo-Fairfield (Ca),2011,,13.1,19.2
Vallejo-Fairfield (Ca),2012,9,11.1,17.2
Vallejo-Fairfield (Ca),2013,,13.2,18.5
Vallejo-Fairfield (Ca),2014,9.9,10.8,15.4
Vallejo-Fairfield (Ca),2015,,12.2,15.4
Vallejo-Fairfield (Ca),2016,,11.4,13.5
Vallejo-Fairfield (Ca),2017,11.6,,15.2
Vallejo-Fairfield (Ca),2018,,16.4,14.8
Vallejo-Fairfield (Ca),2019,,,13.8
Vernal (Ut),2010,,,8.7
Vernal (Ut),2011,,,8.05
Vernal (Ut),2012,,,6.6
Vernal (Ut),2013,,,11.3
Vernal (Ut),2015,,,4.6
Vernal (Ut),2016,,,5.8
Vernal (Ut),2017,,,4.4
Vernal (Ut),2018,,,3.8
Vernal (Ut),2019,,,6.2
Virginia Beach-Norfolk-Newport News (Va-Nc),2010,,17.6,9.1
Virginia Beach-Norfolk-Newport News (Va-Nc),2011,,,14.5
Virginia Beach-Norfolk-Newport News (Va-Nc),2013,,10.35,7.4
Virginia Beach-Norfolk-Newport News (Va-Nc),2014,,10.1,15.6
Virginia Beach-Norfolk-Newport News (Va-Nc),2015,,10.4,
Virginia Beach-Norfolk-Newport News (Va-Nc),2016,,,10
Virginia Beach-Norfolk-Newport News (Va-Nc),2017,,,14
Virginia Beach-Norfolk-Newport News (Va-Nc),2018,,9.9,9.65
Virginia Beach-Norfolk-Newport News (Va-Nc),2019,,10.25,
Visalia-Porterville (Ca),2010,13.6,,23.5
Visalia-Porterville (Ca),2011,16.1,,22.2
Visalia-Porterville (Ca),2012,,,22.7
Visalia-Porterville (Ca),2013,18.9,,23.9
Visalia-Porterville (Ca),2014,17.9,,19.6
Visalia-Porterville (Ca),2015,16.1,,18.2
Visalia-Porterville (Ca),2016,14.7,,16.8
Visalia-Porterville (Ca),2017,16.3,,20.4
Visalia-Porterville (Ca),2018,17.3,,20.2
Visalia-Porterville (Ca),2019,12.9,,18
Waco (Tx),2011,,,7
Waco (Tx),2012,,,6.4
Waco (Tx),2013,,,4.9
Waco (Tx),2014,,,4.2
Washington-Arlington-Alexandria (Dc-Va-Md-Wv),2010,,,22.06
Washington-Arlington-Alexandria (Dc-Va-Md-Wv),2011,,12.5,24.13
Washington-Arlington-Alexandria (Dc-Va-Md-Wv),2012,9.7,12.3,21.88
Washington-Arlington-Alexandria (Dc-Va-Md-Wv),2013,,,21.8
Washington-Arlington-Alexandria (Dc-Va-Md-Wv),2014,,12.1,17.25
Washington-Arlington-Alexandria (Dc-Va-Md-Wv),2015,,,14.5
Washington-Arlington-Alexandria (Dc-Va-Md-Wv),2016,,,21.13
Washington-Arlington-Alexandria (Dc-Va-Md-Wv),2017,10,9.4,20.45
Washington-Arlington-Alexandria (Dc-Va-Md-Wv),2018,,8.15,15.93
Washington-Arlington-Alexandria (Dc-Va-Md-Wv),2019,,7.6,21.2
Waterloo-Cedar Falls (Ia),2010,10.9,,
Watertown (Sd),2017,,21.5,
Weirton-Steubenville (Wv-Oh),2010,,22,
Weirton-Steubenville (Wv-Oh),2011,,14.6,
Weirton-Steubenville (Wv-Oh),2015,12.1,21.4,
Weirton-Steubenville (Wv-Oh),2016,11,,
West Mercer,2010,,,4.4
West Mercer,2015,,,4
Wichita (Ks),2010,,20.3,6.9
Wichita (Ks),2011,,22,23
Wichita (Ks),2012,,,10.3
Wichita (Ks),2013,,22.7,16.6
Wichita (Ks),2014,,23.75,8.7
Wichita (Ks),2015,,23.6,7.6
Wichita (Ks),2016,,23.1,9.9
Wichita (Ks),2017,,34.9,13.1
Wichita (Ks),2018,,31.7,14.3
Wichita (Ks),2019,,21.2,5.9
Wilmington (Nc),2018,3.5,,
Winchester (Va-Wv),2013,,9.9,
Winston-Salem (Nc),2011,,,14.5
Winston-Salem (Nc),2012,,13,
Winston-Salem (Nc),2013,,11.5,11.5
Winston-Salem (Nc),2014,,,12
Winston-Salem (Nc),2016,,,12.3
Winston-Salem (Nc),2017,,11,13.2
Winston-Salem (Nc),2018,,,12.5
Worcester (Ma-Ct),2010,,,26.3
Worcester (Ma-Ct),2011,,,32.6
Worcester (Ma-Ct),2013,,18.2,
Worcester (Ma-Ct),2014,,,24.5
Worcester (Ma-Ct),2016,,14.9,
Worcester (Ma-Ct),2017,5.4,,21.5
Worcester (Ma-Ct),2018,,13.4,
Worcester (Ma-Ct),2019,,,19.7
York-Hanover (Pa),2011,,,23.8
York-Hanover (Pa),2012,,,22.2
York-Hanover (Pa),2013,,,18.8
York-Hanover (Pa),2014,,,20.4
York-Hanover (Pa),2015,,,19.5
York-Hanover (Pa),2018,,,11
Youngstown-Warren-Boardman (Oh-Pa),2012,,18.3,
Youngstown-Warren-Boardman (Oh-Pa),2014,,12,
Youngstown-Warren-Boardman (Oh-Pa),2015,,12.8,
Youngstown-Warren-Boardman (Oh-Pa),2018,,16.5,
Yreka,2010,4.5,,
Yreka,2011,5.5,,
Yreka,2012,5.7,,
Yreka,2013,7.9,,
Yreka,2018,14.4,,
Yreka,2019,5.9,,
Yuba City (Ca),2010,,,14.1
Yuba City (Ca),2011,8,,15.7
Yuba City (Ca),2012,6.9,,18
Yuba City (Ca),2013,8.2,,18.1
Yuba City (Ca),2018,,,14.1
Yuba City (Ca),2019,,,12.2
Yuma (Az),2010,7.4,,
Yuma (Az),2011,7.6,29.7,
Yuma (Az),2012,8.5,43.2,
Yuma (Az),2013,7.4,41.1,
Yuma (Az),2014,,44.7,
Yuma (Az),2015,5.6,38.5,
Yuma (Az),2016,8.3,47.7,
Yuma (Az),2017,8.5,41.8,
Yuma (Az),2018,,42.5,
Yuma (Az),2019,,35,